city,title,location,price(L),rate_persqft,area_insqft,building_status,last_updated_date
Mumbai,2 BHK Apartment,Dombivli West,63.0,7411,850,Ready to move,2020-01-24
Mumbai,3 BHK Apartment,Dombivli West,50.0,3816,1310,Ready to move,2020-01-24
Mumbai,1 BHK Apartment,Dombivli West,31.25,6250,500,Ready to move,2020-01-24
Mumbai,2 BHK Apartment,Dombivli West,40.0,5128,780,Under Construction,2020-01-16
Mumbai,3 BHK Apartment,Dombivli West,75.0,6465,1160,Ready to move,2020-01-24
Mumbai,1 BHK Apartment,Dombivli West,39.0,7276,536,Ready to move,2020-01-24
Mumbai,2 BHK Apartment,Dombivli West,64.0,7529,850,Ready to move,2020-01-24
Mumbai,2 BHK Apartment,Dombivli West,38.0,5066,750,Under Construction,2020-01-24
Mumbai,2 BHK Apartment,Kandivali East,199.0,17976,1107,Under Construction,2020-01-24
Mumbai,2 BHK Apartment,Kandivali East,166.0,12500,1330,Under Construction,2020-01-24
Mumbai,3 BHK Apartment,Kandivali East,212.0,12500,1697,Under Construction,2020-01-24
Mumbai,2 BHK Apartment,Kandivali East,127.0,12500,1020,Under Construction,2020-01-24
Mumbai,2 BHK Apartment,Kandivali East,140.0,23102,606,Under Construction,2020-01-24
Mumbai,3 BHK Apartment,Kandivali East,209.0,24302,861,Under Construction,2020-01-24
Mumbai,1 BHK Apartment,Kandivali East,85.0,19859,429,Under Construction,2020-01-15
Mumbai,3 BHK Apartment,Kandivali East,275.0,16176,1700,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Kandivali East,215.0,17200,1250,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Kandivali East,240.0,21917,1095,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Kandivali East,200.0,13333,1500,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Kandivali East,260.0,19259,1350,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Kandivali East,135.0,12857,1050,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Kandivali East,215.0,19545,1100,Ready to move,2020-01-24
Mumbai,1 BHK Apartment,Kandivali East,57.0,15616,365,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Kandivali West,170.0,20481,830,Ready to move,2020-01-24
Mumbai,2 BHK Apartment,Kandivali West,175.0,23553,743,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Kandivali West,130.0,17333,750,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Kandivali West,145.0,14342,1011,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Kandivali West,180.0,14516,1240,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Kandivali West,175.0,18229,960,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Kandivali West,180.0,18907,952,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Mahalaxmi,360.0,27972,1287,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Mahalaxmi,400.0,31080,1287,Ready to move,2020-01-15
Mumbai,3 BHK Apartment,Mahalaxmi,790.0,32999,2394,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Mahalaxmi,400.0,40650,984,Under Construction,2020-01-15
Mumbai,3 BHK Apartment,Mahalaxmi,591.0,33907,1743,Under Construction,2020-01-24
Mumbai,5 BHK Apartment,Mahalaxmi,1100.0,28132,3910,Ready to move,2020-01-24
Mumbai,3 BHK Apartment,Mahalaxmi,625.0,27448,2277,Ready to move,2020-01-15
Mumbai,1 BHK Apartment,Mahalaxmi,160.0,30769,520,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Mahalaxmi,600.0,44444,1350,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Mahalaxmi,575.0,42592,1350,Ready to move,2020-01-15
Mumbai,2 BHK Apartment,Mahalaxmi,360.0,45000,800,Under Construction,2020-01-15
Mumbai,2 BHK Apartment,Mahalaxmi,360.0,42352,850,Under Construction,2020-01-15
