,Area,BHK,Bathroom,Furnishing,Locality,Parking,Price_2019,Status,Transaction,Type,PricePerSqft
668,2022,3,3,Semi-Furnished,Commonwealth Games Village,2,38000000,Ready_to_move,Resale,Apartment,18793
669,2650,4,5,Furnished,Commonwealth Games Village,2,52500000,Ready_to_move,Resale,Apartment,19811
670,1850,3,3,Unfurnished,Commonwealth Games Village,2,37500000,Ready_to_move,Resale,Apartment,20270
671,2100,3,3,Semi-Furnished,Commonwealth Games Village,2,37000000,Ready_to_move,Resale,Apartment,17619
672,1700,3,4,Semi-Furnished,Commonwealth Games Village,2,40000000,Ready_to_move,Resale,Apartment,17619
673,2105,3,3,Semi-Furnished,Commonwealth Games Village,2,36200000,Ready_to_move,Resale,Apartment,17197
674,1250,2,3,Semi-Furnished,Commonwealth Games Village,1,29000000,Ready_to_move,Resale,Apartment,17197
675,2552,4,5,Furnished,Commonwealth Games Village,3,42500000,Ready_to_move,New_Property,Apartment,16654
677,2125,3,3,Semi-Furnished,Commonwealth Games Village,2,36500000,Ready_to_move,Resale,Apartment,17176
678,2065,3,4,Semi-Furnished,Commonwealth Games Village,2,42500000,Ready_to_move,Resale,Apartment,20581
679,3405,5,4,Semi-Furnished,Commonwealth Games Village,3,71500000,Ready_to_move,Resale,Apartment,20999
680,3050,5,5,Semi-Furnished,Commonwealth Games Village,3,65000000,Ready_to_move,New_Property,Apartment,21311
682,1455,2,2,Semi-Furnished,Commonwealth Games Village,2,27500000,Ready_to_move,Resale,Apartment,18900
683,3400,5,5,Semi-Furnished,Commonwealth Games Village,3,70000000,Ready_to_move,New_Property,Apartment,20588
684,3100,5,5,Semi-Furnished,Commonwealth Games Village,3,65000000,Ready_to_move,Resale,Apartment,20967
685,1400,2,3,Unfurnished,Commonwealth Games Village,3,28600000,Ready_to_move,Resale,Apartment,20967
686,2126,3,3,Semi-Furnished,Commonwealth Games Village,2,39000000,Ready_to_move,Resale,Apartment,18344
687,1815,3,3,Semi-Furnished,Commonwealth Games Village,2,32500000,Ready_to_move,Resale,Apartment,17906
688,1700,3,3,Unfurnished,Commonwealth Games Village,2,34000000,Ready_to_move,Resale,Apartment,17906
689,700,2,2,Unfurnished,Alaknanda,,16500000,Ready_to_move,Resale,Apartment,
690,980,2,2,Semi-Furnished,Alaknanda,2,13800000,Ready_to_move,Resale,Apartment,
691,1350,3,3,Semi-Furnished,Alaknanda,2,21000000,Ready_to_move,Resale,Apartment,
692,1800,3,3,Semi-Furnished,Alaknanda,2,22500000,Ready_to_move,Resale,Apartment,
693,968.751,2,2,Semi-Furnished,Alaknanda,2,15000000,Ready_to_move,Resale,Apartment,
694,1250,3,3,Semi-Furnished,Alaknanda,2,20000000,Ready_to_move,New_Property,Apartment,
695,1800,3,3,Furnished,Alaknanda,2,20000000,Ready_to_move,New_Property,Apartment,
696,1400,3,2,Semi-Furnished,Alaknanda,2,26000000,Ready_to_move,Resale,Builder_Floor,
697,1000,3,3,Semi-Furnished,Alaknanda,2,19500000,Ready_to_move,Resale,Apartment,
698,1800,4,2,Semi-Furnished,Alaknanda,1,21500000,Ready_to_move,Resale,Apartment,
699,1500,3,3,Unfurnished,Alaknanda,1,26500000,Ready_to_move,New_Property,Apartment,
700,1600,3,3,Semi-Furnished,Alaknanda,2,20000000,Ready_to_move,Resale,Apartment,12500
701,1400,3,3,Furnished,Alaknanda,1,18000000,Ready_to_move,Resale,Apartment,12500
702,1400,3,2,Unfurnished,Alaknanda,1,19000000,Ready_to_move,Resale,Apartment,12500
704,1100,2,2,Unfurnished,Alaknanda,2,15000000,Ready_to_move,Resale,Apartment,12500
705,1200,2,2,Semi-Furnished,Alaknanda,2,17500000,Ready_to_move,Resale,Apartment,12500
706,1400,2,2,Semi-Furnished,Alaknanda,2,14000000,Ready_to_move,Resale,Apartment,12500
707,1500,3,3,Semi-Furnished,Alaknanda,2,21000000,Ready_to_move,Resale,Apartment,12500
708,1320,3,2,Unfurnished,Alaknanda,2,15600000,Ready_to_move,Resale,Apartment,12500
709,1300,3,3,Unfurnished,Alaknanda,2,19000000,Ready_to_move,Resale,Apartment,12500
710,1150,2,2,Unfurnished,Alaknanda,1,16500000,Ready_to_move,Resale,Apartment,12500
711,1440,3,3,Unfurnished,Alaknanda,1,19000000,Ready_to_move,Resale,Apartment,12500
712,1400,2,2,Unfurnished,Alaknanda,1,16500000,Ready_to_move,Resale,Apartment,12500
713,450,1,1,Semi-Furnished,Alaknanda,1,3000000,Ready_to_move,Resale,Builder_Floor,12500
714,1300,2,2,Semi-Furnished,Alaknanda,1,15000000,Ready_to_move,Resale,Apartment,11538
